Symbol,Name,Favorites
^GSPC,SP500,1
^IXIC,NASDAQ,1
AAPL,Apple,1
AMZN,Amazon,1
FB,Facebook,1
GE,GE,1
GOOG,Google,1
MCD,McDonalds,1
MSFT,Microsoft,1
CERN,Cerner,1
DATA,Tableau,1
